Interestingness,Coherence,Coherence,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,IR,IR,IR,IR,IR,IR,Cosine,Cosine,Cosine,Cosine,Cosine,Cosine
Thresold,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045
Parts-of-speech,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001,0.00226758,0.19333334,0.00529101,0.00226758,0.19333334,0.00529101,0.00226758,0.19333334,0.00476191,0.00226758,0.19333334,0.00476191,0,0.5,0,0,0.5,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8,0.00226758,0.19333334,0.00529101,0.00226758,0.19333334,0.00529101,0.00226758,0.19333334,0.00476191,0.00226758,0.19333334,0.00476191,0,0.5,0,0,0.5,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001,0.00982974,0.08685723,0.00131387,0.00982974,0.08685723,0.00131387,0.00982974,0.08685723,0.00131387,0.00982974,0.08685723,0.00131387,0,0.4,0,0,0.4,0,0,0.04761905,0,0,0.04761905,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8,0.00982974,0.08685723,0.00131387,0.00982974,0.08685723,0.00131387,0.00982974,0.08685723,0.00131387,0.00982974,0.08685723,0.00131387,0,0.4,0,0,0.4,0,0,0.04761905,0,0,0.04761905,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001,0.01408451,0.125,0,0.01408451,0.125,0,0.01408451,0.125,0,0.01408451,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8,0.01408451,0.125,0,0.01408451,0.125,0,0.01408451,0.125,0,0.01408451,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001,0.01373627,0.1976357,0.00312824,0.01373627,0.1976357,0.00312824,0.01366121,0.1976357,0.00312824,0.01366121,0.1976357,0.00312824,0,0.66666667,0,0,0.66666667,0,0,0.04166667,0,0,0.04166667,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8,0.01373627,0.1976357,0.00312824,0.01373627,0.1976357,0.00312824,0.01366121,0.1976357,0.00312824,0.01366121,0.1976357,0.00312824,0,0.66666667,0,0,0.66666667,0,0,0.04166667,0,0,0.04166667,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001,0.02941177,0.33333334,0,0.02941177,0.33333334,0,0.02941177,0.33333334,0,0.02941177,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8,0.02941177,0.33333334,0,0.02941177,0.33333334,0,0.02941177,0.33333334,0,0.02941177,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001,0.01355085,0.16414142,0.00135459,0.01355085,0.16414142,0.00135459,0.01355085,0.1543375,0.00135459,0.01355085,0.1543375,0.00135459,0,0.5,0,0,0.5,0,0.02941177,0.16666667,0,0.02941177,0.16666667,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8,0.01355085,0.16414142,0.00135459,0.01355085,0.16414142,0.00135459,0.01355085,0.1543375,0.00135459,0.01355085,0.1543375,0.00135459,0,0.5,0,0,0.5,0,0.02941177,0.16666667,0,0.02941177,0.16666667,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001,0.01991151,0.3,0,0.01991151,0.3,0,0.01991151,0.28333334,0,0.01991151,0.28333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8,0.01991151,0.3,0,0.01991151,0.3,0,0.01991151,0.28333334,0,0.01991151,0.28333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.001,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.8,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.001,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.8,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0.00234742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001,0.01203068,0.16499871,0.00111643,0.01203068,0.16499871,0.00111643,0.01197312,0.16499871,0.00111643,0.01197312,0.16499871,0.00111643,0,0.33333334,0,0,0.33333334,0,0,0.15625,0,0,0.15625,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8,0.01203068,0.16499871,0.00111643,0.01203068,0.16499871,0.00111643,0.01197312,0.16499871,0.00111643,0.01197312,0.16499871,0.00111643,0,0.33333334,0,0,0.33333334,0,0,0.15625,0,0,0.15625,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001,0.02564103,0.33333334,0,0.02564103,0.33333334,0,0.02564103,0.33333334,0,0.02564103,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8,0.02564103,0.33333334,0,0.02564103,0.33333334,0,0.02564103,0.33333334,0,0.02564103,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001,0.01103604,0.15318036,0.00097306,0.01103604,0.15318036,0.00097306,0.01103604,0.1439211,0.00097306,0.01103604,0.1439211,0.00097306,0,0.41666667,0,0,0.41666667,0,0.02272728,0.16666667,0,0.02272728,0.16666667,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8,0.01103604,0.15318036,0.00097306,0.01103604,0.15318036,0.00097306,0.01103604,0.1439211,0.00097306,0.01103604,0.1439211,0.00097306,0,0.41666667,0,0,0.41666667,0,0.02272728,0.16666667,0,0.02272728,0.16666667,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001,0.02272728,0.3,0,0.02272728,0.3,0,0.02254099,0.28333334,0,0.02254099,0.28333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8,0.02272728,0.3,0,0.02272728,0.3,0,0.02254099,0.28333334,0,0.02254099,0.28333334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.001,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.8,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.001,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.8,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0.00175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,0.02941177,0.33333334,0.00529101,0.02941177,0.33333334,0.00529101,0.02941177,0.33333334,0.00476191,0.02941177,0.33333334,0.00476191,0,0.66666667,0,0,0.66666667,0,0.02941177,0.16666667,0,0.02941177,0.16666667,0,,,,,,,,,,,,
